Date,light_price_kwh,Year,Month,Day,Hour,Moonset,Moonrise,moon_hours,moon_illumination_percent,moon_distance,moon_phase,Sunrise,Sunset,Start_civil_twilight,End_civil_twilight,sun_hours,condition,precip_percent,cloud_cover_percent,humidity_percent,temp_celsius,precip_mm,pressure_hPa,upper_light_price_mean,is_night,is_day,needs_artif_light,moon_phase_mult,events_titles,events_locations,events_descriptions,events_zones,events_lats,events_lons,id_list,type_list,ebox_id_list,coordinates_list,real_intensity,recommended_intensity,recommended_intensity_explanation,savings,real_CO2_consumption,recommended_CO2_consumption
2023-09-28,0.14961,2023,9,28,21:00:00,06:14:00,19:26:00,13.2,96.7,359.92,First Quarter,07:44:00,19:38:00,07:16,20:06,11.9067,clear,11.0,6.0,84.0,21.67,0.0,1019.3,False,False,False,True,2,,,,,,,"['AA0000017763', 'AA00000186F6', 'AA00000186F7', 'AA00000186FA', 'AA00000186FB', 'AA0000018735', 'AA0000018738', 'AA0000018739', 'AA000001879E', 'AA0000018979', 'AA000001897D', 'AA0000018984', 'AA0000018988', 'AA000001898A', 'AA000001898B', 'AA000001898C', 'AA000001898D', 'AA000001898E', 'AA000001898F', 'AA0000018990', 'AA0000018992', 'AA0000018993', 'AA0000018995', 'AA000001899A', 'AA00000189A2', 'AA00000189A3', 'AA00000189A4', 'AA00000189A5', 'AA00000189A6', 'AA00000189A7', 'AA00000189A8', 'AA00000189A9', 'AA00000189AA', 'AA00000189AB', 'AA00000189AC', 'AA00000189AD', 'AA00000189B8', 'AA00000189C8', 'AA00000189D0', 'AA00000189D2', 'AA00000189D5', 'AA00000189D7', 'AA00000189E1', 'AA0000018A46', 'AA0000018A49', 'AA0000018A4A', 'AA0000018B9C', 'AA0000018B9F', 'AA0000018BA0', 'AA0000018BA1', 'AA0000018BA3', 'AA0000018BA4', 'AA0000018BA5', 'AA0000018BB4', 'AA0000018BD6', 'AA0000018BDC', 'AA0000018BE0', 'AA0000018BE4', 'AA0000018BE6', 'AA0000018BE7', 'AA0000018BE8', 'AA0000018BE9', 'AA0000018BEB', 'AA0000018BEC', 'AA0000018BF3', 'AA0000018C26', 'AA0000018C27', 'AA0000018C2A', 'AA0000018C39', 'AA0000018C3A', 'AA0000018C3B', 'AA0000018C3C', 'AA0000018C3E', 'AA0000018C3F', 'AA0000018C40', 'AA0000018C41', 'AA0000018C42', 'AA0000018C43', 'AA0000018C50', 'AA0000018C51', 'AA0000018C58', 'AA0000018C59', 'AA0000018C5A', 'AA0000018C5B', 'AA0000018C69', 'AA0000018C6A', 'AA0000018D2E', 'AA0000018D2F', 'AA0000018DAB', 'AA0000018DC0', 'AA0000018DF4', 'AA0000018DF5', 'AA0000018DF6', 'AA0000018DF7', 'AA0000018EA4', 'AA0000018EA7', 'AA0000018ECC', 'AA0000018ECD', 'AA0000018ECF', 'AA0000018ED0', 'AA0000018ED1', 'AA0000018F92', 'AA0000018FD9', 'AA0000019239', 'AA00000196AA', 'AA00000196AC', 'AA00000196AD', 'AA00000196AE', 'AA00000196B8', 'AA000001BAD5']","['light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light', 'light']","['BB0005190147', 'BB0005190147', 'BB0005190147', 'BB0005190147', 'BB0005190147', 'BB0005190147', 'BB0005190147', 'BB0005190147', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA000001128F', 'AA0000011290', 'AA0000011290', 'AA0000011290', 'AA0000011290', 'AA0000011290', 'AA0000011290', 'AA0000011290', 'AA0000011290', 'BB0005190147', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001128F', 'BB0005190147', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001169B', 'AA000001128F', 'AA000001128F']","[""{'lat': 41.289784, 'lon': 1.724382}"", ""{'lat': 41.291172, 'lon': 1.725379}"", ""{'lat': 41.291192, 'lon': 1.724903}"", ""{'lat': 41.290768, 'lon': 1.725359}"", ""{'lat': 41.290964, 'lon': 1.725487}"", ""{'lat': 41.290348, 'lon': 1.724235}"", ""{'lat': 41.290764, 'lon': 1.724865}"", ""{'lat': 41.290956, 'lon': 1.724777}"", ""{'lat': 41.288928, 'lon': 1.724094}"", ""{'lat': 41.287504, 'lon': 1.721669}"", ""{'lat': 41.287712, 'lon': 1.721652}"", ""{'lat': 41.289664, 'lon': 1.724269}"", ""{'lat': 41.28954, 'lon': 1.724351}"", ""{'lat': 41.289152, 'lon': 1.724218}"", ""{'lat': 41.2885, 'lon': 1.723936}"", ""{'lat': 41.288028, 'lon': 1.723755}"", ""{'lat': 41.289356, 'lon': 1.724282}"", ""{'lat': 41.28826, 'lon': 1.723851}"", ""{'lat': 41.28872, 'lon': 1.724035}"", ""{'lat': 41.287616, 'lon': 1.723572}"", ""{'lat': 41.288288, 'lon': 1.722042}"", ""{'lat': 41.287836, 'lon': 1.723658}"", ""{'lat': 41.288296, 'lon': 1.722016}"", ""{'lat': 41.288304, 'lon': 1.722039}"", ""{'lat': 41.288056, 'lon': 1.720651}"", ""{'lat': 41.288324, 'lon': 1.720883}"", ""{'lat': 41.288404, 'lon': 1.720759}"", ""{'lat': 41.288204, 'lon': 1.720787}"", ""{'lat': 41.287896, 'lon': 1.720492}"", ""{'lat': 41.288472, 'lon': 1.720635}"", ""{'lat': 41.288028, 'lon': 1.721482}"", ""{'lat': 41.288176, 'lon': 1.721805}"", ""{'lat': 41.288256, 'lon': 1.721056}"", ""{'lat': 41.287968, 'lon': 1.721332}"", ""{'lat': 41.288056, 'lon': 1.72171}"", ""{'lat': 41.288164, 'lon': 1.721244}"", ""{'lat': 41.288948, 'lon': 1.723778}"", ""{'lat': 41.287792, 'lon': 1.721304}"", ""{'lat': 41.287952, 'lon': 1.72163}"", ""{'lat': 41.28748, 'lon': 1.72134}"", ""{'lat': 41.287624, 'lon': 1.721369}"", ""{'lat': 41.287556, 'lon': 1.721163}"", ""{'lat': 41.289, 'lon': 1.723964}"", ""{'lat': 41.28768, 'lon': 1.721071}"", ""{'lat': 41.28746, 'lon': 1.721115}"", ""{'lat': 41.28756, 'lon': 1.720955}"", ""{'lat': 41.28752, 'lon': 1.724227}"", ""{'lat': 41.287752, 'lon': 1.724464}"", ""{'lat': 41.288144, 'lon': 1.72412}"", ""{'lat': 41.288896, 'lon': 1.724267}"", ""{'lat': 41.289208, 'lon': 1.724387}"", ""{'lat': 41.288548, 'lon': 1.724168}"", ""{'lat': 41.287808, 'lon': 1.723924}"", ""{'lat': 41.289572, 'lon': 1.7245}"", ""{'lat': 41.290192, 'lon': 1.724316}"", ""{'lat': 41.28948, 'lon': 1.719511}"", ""{'lat': 41.289576, 'lon': 1.718011}"", ""{'lat': 41.2895, 'lon': 1.719533}"", ""{'lat': 41.290004, 'lon': 1.718554}"", ""{'lat': 41.289668, 'lon': 1.719295}"", ""{'lat': 41.289372, 'lon': 1.719741}"", ""{'lat': 41.288828, 'lon': 1.720247}"", ""{'lat': 41.289228, 'lon': 1.719931}"", ""{'lat': 41.289004, 'lon': 1.720202}"", ""{'lat': 41.28748, 'lon': 1.719432}"", ""{'lat': 41.287896, 'lon': 1.719403}"", ""{'lat': 41.287912, 'lon': 1.719623}"", ""{'lat': 41.287808, 'lon': 1.719197}"", ""{'lat': 41.28876, 'lon': 1.72005}"", ""{'lat': 41.289076, 'lon': 1.719183}"", ""{'lat': 41.288028, 'lon': 1.719709}"", ""{'lat': 41.288976, 'lon': 1.71963}"", ""{'lat': 41.288872, 'lon': 1.718599}"", ""{'lat': 41.2891, 'lon': 1.718235}"", ""{'lat': 41.288684, 'lon': 1.718886}"", ""{'lat': 41.28878, 'lon': 1.718725}"", ""{'lat': 41.288992, 'lon': 1.718395}"", ""{'lat': 41.289108, 'lon': 1.718682}"", ""{'lat': 41.288276, 'lon': 1.719534}"", ""{'lat': 41.288488, 'lon': 1.719194}"", ""{'lat': 41.288164, 'lon': 1.719696}"", ""{'lat': 41.288388, 'lon': 1.719348}"", ""{'lat': 41.28858, 'lon': 1.719062}"", ""{'lat': 41.288032, 'lon': 1.719857}"", ""{'lat': 41.289136, 'lon': 1.719402}"", ""{'lat': 41.289288, 'lon': 1.718419}"", ""{'lat': 41.289864, 'lon': 1.717959}"", ""{'lat': 41.289704, 'lon': 1.717973}"", ""{'lat': 41.287588, 'lon': 1.719243}"", ""{'lat': 41.287484, 'lon': 1.719633}"", ""{'lat': 41.289156, 'lon': 1.718922}"", ""{'lat': 41.289408, 'lon': 1.718199}"", ""{'lat': 41.28912, 'lon': 1.718458}"", ""{'lat': 41.2894, 'lon': 1.718001}"", ""{'lat': 41.288584, 'lon': 1.720192}"", ""{'lat': 41.288244, 'lon': 1.719921}"", ""{'lat': 41.287756, 'lon': 1.720216}"", ""{'lat': 41.287484, 'lon': 1.720379}"", ""{'lat': 41.287916, 'lon': 1.720047}"", ""{'lat': 41.287488, 'lon': 1.720505}"", ""{'lat': 41.2876, 'lon': 1.720305}"", ""{'lat': 41.288372, 'lon': 1.720155}"", ""{'lat': 41.288912, 'lon': 1.723654}"", ""{'lat': 41.29, 'lon': 1.724374}"", ""{'lat': 41.290024, 'lon': 1.718147}"", ""{'lat': 41.288912, 'lon': 1.719883}"", ""{'lat': 41.28864, 'lon': 1.720448}"", ""{'lat': 41.289864, 'lon': 1.718952}"", ""{'lat': 41.28774, 'lon': 1.721477}"", ""{'lat': 41.287864, 'lon': 1.721611}""]",100.0,100.0,"The sky is clear in this zone and hour, recommended intensity increases by 0.6%
",0.0,0.05,0.05
