Year,Month,Day,Hour,events_locations,events_titles,events_descriptions,events_zones,events_lats,events_lons
2023,6,26,14:00:00,['Jardins el hotelito Canyelles urbanització California'],['Romantic Barcelona: Outdoor Escape Game for Couples'],[nan],['turistic'],[41.26786903417168],[1.724039265956549]
2023,6,26,15:00:00,['Jardins el hotelito Canyelles urbanització California'],['Romantic Barcelona: Outdoor Escape Game for Couples'],[nan],['turistic'],[41.26786903417168],[1.724039265956549]
2023,6,26,17:00:00,"['Plaça del casal de Canyelles', 'Castell de Canyelles']","['Bone Festival (Day 2)', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)']","[nan, nan]","['turistic', 'turistic']","[41.26786903417168, 41.26786903417168]","[1.7217341064298708, 1.724039265956549]"
2023,6,26,18:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Bone Festival (Day 2)', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)', 'Free Music Afterwork - BRIDGE LAB']","[nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.7217341064298708, 1.724039265956549, 1.724039265956549]"
2023,6,26,19:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Bone Festival (Day 2)', 'FREE TICKETS - GRAND OPENING SUMMER MUSIC SERIES - Open Air Terrace and Hotel Music Stage', 'Sardina Fest 2023', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)', 'Free Music Afterwork - BRIDGE LAB']","[nan, nan, nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,26,20:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Bone Festival (Day 2)', 'FREE TICKETS - GRAND OPENING SUMMER MUSIC SERIES - Open Air Terrace and Hotel Music Stage', 'Sardina Fest 2023', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)', 'Free Music Afterwork - BRIDGE LAB']","[nan, nan, nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,26,21:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles']","['SHARK EVENT_GO BEACH_2023', 'Bone Festival (Day 2)', 'FREE TICKETS - GRAND OPENING SUMMER MUSIC SERIES - Open Air Terrace and Hotel Music Stage', 'Sardina Fest 2023', 'Make New Friends in Barcelona - Amigos de Mundiñol', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)', 'Free Music Afterwork - BRIDGE LAB', 'VOY A PASARMELO BIEN']","[nan, nan, nan, nan, nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,26,22:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles']","['SHARK EVENT_GO BEACH_2023', 'Bone Festival (Day 2)', 'FREE TICKETS - GRAND OPENING SUMMER MUSIC SERIES - Open Air Terrace and Hotel Music Stage', 'Make New Friends in Barcelona - Amigos de Mundiñol', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)', 'Free Music Afterwork - BRIDGE LAB', 'VOY A PASARMELO BIEN']","[nan, nan, nan, nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.7217341064298708, 1.7217341064298708, 1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,26,23:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California', 'Plaça del casal de Canyelles']","['SHARK EVENT_GO BEACH_2023', 'Input Pres. @ INPUT', 'Friday Party', 'FREE TICKETS - GRAND OPENING SUMMER MUSIC SERIES - Open Air Terrace and Hotel Music Stage', 'Make New Friends in Barcelona - Amigos de Mundiñol', 'Playroom #7: Friday 14th, FREE TICKETS - (Black Bus)', 'Tempesta Music @ Macarena', 'VOY A PASARMELO BIEN']","[nan, nan, nan, nan, nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.724039265956549, 1.722669984574967, 1.7217341064298708, 1.724039265956549, 1.724039265956549, 1.724039265956549, 1.724039265956549]"
2023,6,27,00:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Input Pres. @ INPUT', 'Friday Party', 'Tempesta Music @ Macarena']","[nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.724039265956549, 1.722669984574967, 1.724039265956549]"
2023,6,27,01:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Input Pres. @ INPUT', 'Friday Party', 'Tempesta Music @ Macarena']","[nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.724039265956549, 1.722669984574967, 1.724039265956549]"
2023,6,27,02:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Input Pres. @ INPUT', 'Friday Party', 'Tempesta Music @ Macarena']","[nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.724039265956549, 1.722669984574967, 1.724039265956549]"
2023,6,27,03:00:00,"['Jardins el hotelito Canyelles urbanització California', 'Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['SHARK EVENT_GO BEACH_2023', 'Input Pres. @ INPUT', 'Friday Party', 'Tempesta Music @ Macarena']","[nan, nan, nan, nan]","['turistic', 'turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.722669984574967, 1.724039265956549, 1.722669984574967, 1.724039265956549]"
2023,6,27,04:00:00,"['Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['Input Pres. @ INPUT', 'Friday Party', 'Tempesta Music @ Macarena']","[nan, nan, nan]","['turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.724039265956549, 1.722669984574967, 1.724039265956549]"
2023,6,27,05:00:00,"['Castell de Canyelles', 'Castell de Canyelles', 'Jardins el hotelito Canyelles urbanització California']","['Input Pres. @ INPUT', 'Friday Party', 'Tempesta Music @ Macarena']","[nan, nan, nan]","['turistic', 'turistic', 'turistic']","[41.26786903417168, 41.26786903417168, 41.26786903417168]","[1.724039265956549, 1.722669984574967, 1.724039265956549]"
