,Date,Hour,temp_farenheit,dew_point_farenheit,humidity_percent,wind,wind_vel,wind_gust,pressure_inches,precip_inches,condition
0,2023-09-28,12:00 AM,72ʡF,66ʡF,83ʡ%,WSW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
1,2023-09-28,12:30 AM,70ʡF,66ʡF,88ʡ%,WSW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
2,2023-09-28,1:00 AM,70ʡF,66ʡF,88ʡ%,WSW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
3,2023-09-28,1:30 AM,70ʡF,66ʡF,88ʡ%,VAR,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
4,2023-09-28,2:00 AM,70ʡF,64ʡF,83ʡ%,NNW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
5,2023-09-28,2:30 AM,70ʡF,64ʡF,83ʡ%,NW,2ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
6,2023-09-28,3:00 AM,68ʡF,64ʡF,88ʡ%,CALM,0ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
7,2023-09-28,3:30 AM,68ʡF,64ʡF,88ʡ%,NW,2ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
8,2023-09-28,4:00 AM,68ʡF,64ʡF,88ʡ%,NNW,1ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
9,2023-09-28,4:30 AM,68ʡF,64ʡF,88ʡ%,WNW,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
10,2023-09-28,5:00 AM,68ʡF,64ʡF,88ʡ%,NW,6ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
11,2023-09-28,5:30 AM,68ʡF,64ʡF,88ʡ%,NW,3ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
12,2023-09-28,6:00 AM,66ʡF,64ʡF,94ʡ%,NW,5ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
13,2023-09-28,6:30 AM,66ʡF,64ʡF,94ʡ%,NNW,3ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
14,2023-09-28,7:00 AM,66ʡF,63ʡF,88ʡ%,NW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
15,2023-09-28,7:30 AM,66ʡF,63ʡF,88ʡ%,NW,6ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
16,2023-09-28,8:00 AM,66ʡF,61ʡF,83ʡ%,NW,7ʡmph,18ʡmph,30.07ʡin,0.0ʡin,Fair
17,2023-09-28,8:30 AM,66ʡF,61ʡF,83ʡ%,VAR,8ʡmph,21ʡmph,30.07ʡin,0.0ʡin,Fair
18,2023-09-28,9:00 AM,68ʡF,63ʡF,83ʡ%,NW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
19,2023-09-27,12:00 AM,68ʡF,61ʡF,78ʡ%,NNW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
20,2023-09-27,12:30 AM,66ʡF,59ʡF,78ʡ%,NNW,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
21,2023-09-27,1:00 AM,66ʡF,57ʡF,73ʡ%,NNW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
22,2023-09-27,1:30 AM,66ʡF,57ʡF,73ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
23,2023-09-27,2:00 AM,64ʡF,59ʡF,83ʡ%,NW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
24,2023-09-27,2:30 AM,64ʡF,57ʡF,77ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
25,2023-09-27,3:00 AM,66ʡF,57ʡF,73ʡ%,NW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
26,2023-09-27,3:30 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
27,2023-09-27,4:00 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
28,2023-09-27,4:30 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
29,2023-09-27,5:00 AM,64ʡF,59ʡF,83ʡ%,NW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
30,2023-09-27,5:30 AM,64ʡF,57ʡF,77ʡ%,NW,13ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
31,2023-09-27,6:00 AM,64ʡF,57ʡF,77ʡ%,NW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
32,2023-09-27,6:30 AM,64ʡF,57ʡF,77ʡ%,NW,10ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
33,2023-09-27,7:00 AM,64ʡF,57ʡF,77ʡ%,WNW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
34,2023-09-27,7:30 AM,64ʡF,57ʡF,77ʡ%,NW,12ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
35,2023-09-27,8:00 AM,63ʡF,57ʡF,82ʡ%,NNW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
36,2023-09-27,8:30 AM,64ʡF,57ʡF,77ʡ%,NNW,9ʡmph,21ʡmph,30.10ʡin,0.0ʡin,Fair
37,2023-09-27,9:00 AM,64ʡF,57ʡF,77ʡ%,NW,9ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
38,2023-09-27,9:30 AM,66ʡF,57ʡF,73ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
39,2023-09-27,10:00 AM,70ʡF,57ʡF,64ʡ%,WNW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
40,2023-09-27,10:30 AM,72ʡF,59ʡF,64ʡ%,WNW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
41,2023-09-27,11:00 AM,73ʡF,63ʡF,69ʡ%,WSW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
42,2023-09-27,11:30 AM,75ʡF,64ʡF,69ʡ%,SW,12ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
43,2023-09-27,12:00 PM,75ʡF,66ʡF,73ʡ%,SW,12ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
44,2023-09-27,12:30 PM,75ʡF,66ʡF,73ʡ%,SW,13ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
45,2023-09-27,1:00 PM,75ʡF,66ʡF,73ʡ%,SW,15ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
46,2023-09-27,1:30 PM,75ʡF,66ʡF,73ʡ%,SW,17ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
47,2023-09-27,2:00 PM,77ʡF,66ʡF,69ʡ%,SW,18ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
48,2023-09-27,2:30 PM,77ʡF,66ʡF,69ʡ%,SW,18ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
49,2023-09-27,3:00 PM,75ʡF,66ʡF,73ʡ%,SW,20ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
50,2023-09-27,3:30 PM,77ʡF,66ʡF,69ʡ%,SW,20ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
51,2023-09-27,4:00 PM,77ʡF,68ʡF,74ʡ%,SW,21ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair / Windy
52,2023-09-27,4:30 PM,77ʡF,66ʡF,69ʡ%,SW,20ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
53,2023-09-27,5:00 PM,75ʡF,68ʡF,78ʡ%,SW,18ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
54,2023-09-27,5:30 PM,75ʡF,68ʡF,78ʡ%,SW,17ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
55,2023-09-27,6:00 PM,77ʡF,68ʡF,74ʡ%,SW,17ʡmph,0ʡmph,30.01ʡin,0.0ʡin,Fair
56,2023-09-27,6:30 PM,75ʡF,68ʡF,78ʡ%,WSW,16ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
57,2023-09-27,7:00 PM,73ʡF,68ʡF,83ʡ%,SW,15ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
58,2023-09-27,7:30 PM,73ʡF,66ʡF,78ʡ%,SW,15ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
59,2023-09-27,8:00 PM,73ʡF,66ʡF,78ʡ%,SW,14ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
60,2023-09-27,8:30 PM,73ʡF,68ʡF,83ʡ%,WSW,13ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
61,2023-09-27,9:00 PM,73ʡF,66ʡF,78ʡ%,SW,13ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
62,2023-09-27,9:30 PM,72ʡF,66ʡF,83ʡ%,WSW,10ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
63,2023-09-27,10:00 PM,72ʡF,66ʡF,83ʡ%,WSW,8ʡmph,0ʡmph,30.04ʡin,0.0ʡin,Fair
64,2023-09-27,10:30 PM,72ʡF,66ʡF,83ʡ%,WSW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
65,2023-09-27,11:00 PM,72ʡF,66ʡF,83ʡ%,WSW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
66,2023-09-27,11:30 PM,72ʡF,66ʡF,83ʡ%,WSW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
67,2023-09-26,12:00 AM,68ʡF,61ʡF,78ʡ%,NNW,6ʡmph,0ʡmph,30.16ʡin,0.0ʡin,Fair
68,2023-09-26,12:30 AM,66ʡF,61ʡF,83ʡ%,NW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
69,2023-09-26,1:00 AM,66ʡF,61ʡF,83ʡ%,NNW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
70,2023-09-26,1:30 AM,64ʡF,61ʡF,88ʡ%,NNW,5ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
71,2023-09-26,2:00 AM,64ʡF,61ʡF,88ʡ%,NNW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
72,2023-09-26,2:30 AM,64ʡF,61ʡF,88ʡ%,NW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
73,2023-09-26,3:00 AM,66ʡF,61ʡF,83ʡ%,NW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
74,2023-09-26,3:30 AM,64ʡF,61ʡF,88ʡ%,NNW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
75,2023-09-26,4:00 AM,64ʡF,61ʡF,88ʡ%,NNW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
76,2023-09-26,4:30 AM,64ʡF,61ʡF,88ʡ%,NNW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
77,2023-09-26,5:00 AM,64ʡF,61ʡF,88ʡ%,NNW,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
78,2023-09-26,5:30 AM,64ʡF,61ʡF,88ʡ%,NNW,3ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
79,2023-09-26,6:00 AM,64ʡF,61ʡF,88ʡ%,NNW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
80,2023-09-26,6:30 AM,64ʡF,61ʡF,88ʡ%,NNW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
81,2023-09-26,7:00 AM,63ʡF,59ʡF,88ʡ%,NNW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
82,2023-09-26,7:30 AM,63ʡF,59ʡF,88ʡ%,NW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
83,2023-09-26,8:00 AM,63ʡF,59ʡF,88ʡ%,NW,9ʡmph,21ʡmph,30.10ʡin,0.0ʡin,Fair
84,2023-09-26,8:30 AM,63ʡF,59ʡF,88ʡ%,NW,8ʡmph,20ʡmph,30.10ʡin,0.0ʡin,Fair
85,2023-09-26,9:00 AM,64ʡF,59ʡF,83ʡ%,NW,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
86,2023-09-26,9:30 AM,66ʡF,59ʡF,78ʡ%,NW,8ʡmph,21ʡmph,30.13ʡin,0.0ʡin,Fair
87,2023-09-26,10:00 AM,68ʡF,59ʡF,73ʡ%,NNW,7ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
88,2023-09-26,10:30 AM,70ʡF,61ʡF,73ʡ%,NNW,3ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
89,2023-09-26,11:00 AM,72ʡF,63ʡF,73ʡ%,WNW,3ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
90,2023-09-26,11:30 AM,73ʡF,63ʡF,69ʡ%,WSW,3ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
91,2023-09-26,12:00 PM,73ʡF,63ʡF,69ʡ%,SW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
92,2023-09-26,12:30 PM,75ʡF,64ʡF,69ʡ%,SSW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
93,2023-09-26,1:00 PM,75ʡF,63ʡF,65ʡ%,S,5ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
94,2023-09-26,1:30 PM,75ʡF,63ʡF,65ʡ%,SSW,6ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
95,2023-09-26,2:00 PM,75ʡF,63ʡF,65ʡ%,SSW,7ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
96,2023-09-26,2:30 PM,75ʡF,63ʡF,65ʡ%,S,8ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
97,2023-09-26,3:00 PM,75ʡF,63ʡF,65ʡ%,S,9ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
98,2023-09-26,3:30 PM,75ʡF,63ʡF,65ʡ%,S,9ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
99,2023-09-26,4:00 PM,75ʡF,64ʡF,69ʡ%,S,9ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
100,2023-09-26,4:30 PM,75ʡF,64ʡF,69ʡ%,S,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
101,2023-09-26,5:00 PM,75ʡF,64ʡF,69ʡ%,S,10ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
102,2023-09-26,5:30 PM,75ʡF,63ʡF,65ʡ%,SSW,10ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
103,2023-09-26,6:00 PM,75ʡF,63ʡF,65ʡ%,SSW,9ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
104,2023-09-26,6:30 PM,75ʡF,61ʡF,61ʡ%,SSW,8ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
105,2023-09-26,7:00 PM,75ʡF,63ʡF,65ʡ%,SW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
106,2023-09-26,7:30 PM,73ʡF,63ʡF,69ʡ%,SW,7ʡmph,0ʡmph,30.07ʡin,0.0ʡin,Fair
107,2023-09-26,8:00 PM,73ʡF,63ʡF,69ʡ%,SW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
108,2023-09-26,8:30 PM,72ʡF,63ʡF,73ʡ%,SW,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
109,2023-09-26,9:00 PM,72ʡF,63ʡF,73ʡ%,SSW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
110,2023-09-26,9:30 PM,72ʡF,63ʡF,73ʡ%,SW,5ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
111,2023-09-26,10:00 PM,70ʡF,63ʡF,78ʡ%,W,6ʡmph,0ʡmph,30.10ʡin,0.0ʡin,Fair
112,2023-09-26,10:30 PM,70ʡF,61ʡF,73ʡ%,VAR,2ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
113,2023-09-26,11:00 PM,70ʡF,59ʡF,68ʡ%,NNW,1ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
114,2023-09-26,11:30 PM,68ʡF,59ʡF,73ʡ%,NW,3ʡmph,0ʡmph,30.13ʡin,0.0ʡin,Fair
